epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,214.274,0.92334,3.27928,0.94278,0.70429,0.76682,0.81027,0.69965,0.56991,1.57592,0.85903,0.00998507,0.00332836,0.00998507,0.00332836,0.00998507,0.00332836,0.00998507,0.00332836
2,392.177,0.72724,1.40802,0.89415,0.94226,0.93484,0.98355,0.83975,0.58916,0.93874,0.86446,0.0195894,0.00652979,0.0195894,0.00652979,0.0195894,0.00652979,0.0195894,0.00652979
3,563.783,0.69381,1.06168,0.89118,0.97307,0.96972,0.99087,0.87691,0.50598,0.70218,0.8554,0.0287977,0.00959922,0.0287977,0.00959922,0.0287977,0.00959922,0.0287977,0.00959922
4,723.013,0.61441,0.80208,0.874,0.98498,0.98397,0.99325,0.91051,0.41619,0.50124,0.82927,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,881.386,0.54045,0.62806,0.85429,0.97741,0.98206,0.99232,0.92286,0.37863,0.40293,0.81683,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1039.23,0.49906,0.53777,0.8444,0.99075,0.9889,0.99444,0.93265,0.35864,0.33129,0.81318,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1197.01,0.47062,0.48701,0.83748,0.99577,0.9913,0.99483,0.94666,0.32543,0.29489,0.80413,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,1355.56,0.44958,0.45239,0.83173,0.99433,0.99127,0.99469,0.9477,0.31677,0.26511,0.80361,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,1513.34,0.42711,0.42568,0.82689,0.99475,0.99189,0.99449,0.9522,0.3072,0.25132,0.79993,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,1670.6,0.41821,0.40901,0.82312,0.99664,0.99311,0.99475,0.95751,0.29416,0.23202,0.79588,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,1827.2,0.40389,0.3896,0.82119,0.99673,0.99293,0.99479,0.95583,0.29848,0.22495,0.79658,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,1984.56,0.39445,0.37728,0.81822,0.99753,0.99428,0.99497,0.96255,0.27907,0.21188,0.79242,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,2142.57,0.38466,0.36806,0.81699,0.99846,0.99426,0.99496,0.96394,0.27677,0.20633,0.79056,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,2300.08,0.37585,0.35385,0.81462,0.99731,0.99402,0.99496,0.96689,0.27081,0.20032,0.78959,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,2455.9,0.36947,0.35018,0.81232,0.99841,0.99469,0.99495,0.96997,0.26152,0.19084,0.78762,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,2606.7,0.36126,0.34224,0.81156,0.99802,0.99431,0.99493,0.9711,0.25649,0.18783,0.78603,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,2757.33,0.3569,0.33416,0.80998,0.99842,0.9951,0.99499,0.97321,0.25016,0.18277,0.78474,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,2908,0.34918,0.32497,0.8083,0.99834,0.99509,0.99498,0.97392,0.24712,0.17809,0.78362,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,3058.45,0.34219,0.3204,0.80704,0.99878,0.99456,0.99499,0.97586,0.24221,0.17564,0.78321,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,3208.88,0.3408,0.31966,0.80613,0.99856,0.99476,0.99495,0.97688,0.23861,0.17187,0.78157,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,3359.34,0.33438,0.31252,0.80523,0.99847,0.99521,0.99499,0.9771,0.23652,0.17005,0.78111,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,3510,0.33109,0.30794,0.80358,0.99858,0.995,0.99499,0.97894,0.23264,0.1654,0.7804,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,3660.57,0.32353,0.30526,0.80304,0.9987,0.9947,0.99499,0.97937,0.22799,0.16351,0.77937,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,3811.11,0.32193,0.30149,0.80154,0.9988,0.9953,0.99499,0.97902,0.2294,0.16224,0.77924,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,3961.39,0.3157,0.29556,0.80161,0.99893,0.99523,0.995,0.98096,0.22286,0.15781,0.7779,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,4111.7,0.31381,0.29175,0.80106,0.99887,0.99544,0.99499,0.98118,0.22037,0.15501,0.77776,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,4262.22,0.30834,0.28595,0.79973,0.99885,0.99548,0.99498,0.98197,0.21901,0.15602,0.77692,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
