epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.87,1.24032,4.42081,0.98815,0.0655,0.28299,0.06991,0.05558,0.74454,3.1659,0.87448,5.95992e-05,5.95992e-05,5.95992e-05
2,197.573,0.90118,2.94467,0.89605,0.26287,0.54155,0.31893,0.26891,0.62956,2.35126,0.85389,0.000116904,0.000116904,0.000116904
3,291.385,0.79242,2.29863,0.87824,0.48247,0.69422,0.61268,0.53541,0.52295,1.75816,0.83936,0.000171847,0.000171847,0.000171847
4,382.041,0.71659,1.86362,0.86959,0.69014,0.79911,0.81259,0.71238,0.52799,1.32436,0.83819,0.000168367,0.000168367,0.000168367
5,468.014,0.67452,1.54071,0.85777,0.82515,0.88925,0.93731,0.8241,0.52838,1.04462,0.8326,0.000164823,0.000164823,0.000164823
6,562.784,0.63944,1.30069,0.85076,0.91963,0.92413,0.97345,0.87762,0.45677,0.8413,0.82045,0.000161279,0.000161279,0.000161279
7,658,0.60696,1.12401,0.84353,0.94541,0.95399,0.98664,0.89395,0.43733,0.72496,0.81592,0.000157735,0.000157735,0.000157735
8,751.402,0.58167,0.99694,0.83959,0.97849,0.97221,0.99307,0.90573,0.42136,0.62838,0.81099,0.000154191,0.000154191,0.000154191
9,851.923,0.56485,0.91487,0.83552,0.9828,0.98015,0.99376,0.9188,0.39371,0.5756,0.80685,0.000150646,0.000150646,0.000150646
10,947.341,0.54369,0.84724,0.83155,0.99025,0.98794,0.99453,0.92253,0.38235,0.53076,0.80218,0.000147102,0.000147102,0.000147102
11,1043.2,0.53202,0.7929,0.83025,0.99055,0.99139,0.99472,0.92451,0.3802,0.50782,0.80121,0.000143558,0.000143558,0.000143558
12,1139.34,0.52111,0.75238,0.8264,0.99216,0.99092,0.99471,0.92752,0.37193,0.48621,0.79984,0.000140014,0.000140014,0.000140014
13,1241.04,0.51495,0.72289,0.82561,0.99388,0.9938,0.99471,0.93203,0.36002,0.4603,0.79888,0.00013647,0.00013647,0.00013647
14,1332.59,0.4991,0.68554,0.82333,0.99351,0.99332,0.99479,0.93514,0.35261,0.44444,0.79679,0.000132925,0.000132925,0.000132925
15,1425.81,0.49169,0.65684,0.82071,0.99448,0.99392,0.99486,0.93762,0.34595,0.42192,0.79374,0.000129381,0.000129381,0.000129381
16,1520.92,0.48627,0.63935,0.81993,0.99536,0.99656,0.99487,0.93765,0.34709,0.41148,0.79403,0.000125837,0.000125837,0.000125837
17,1605.93,0.47661,0.61378,0.81571,0.99642,0.99774,0.99498,0.93952,0.33813,0.39212,0.79104,0.000122293,0.000122293,0.000122293
18,1702.89,0.46782,0.59668,0.81539,0.9947,0.99515,0.99496,0.94243,0.331,0.38521,0.78968,0.000118749,0.000118749,0.000118749
19,1800.48,0.46056,0.5799,0.81414,0.99651,0.99726,0.99497,0.94752,0.32019,0.3657,0.78819,0.000115204,0.000115204,0.000115204
20,1896.22,0.45502,0.56873,0.81262,0.99693,0.99789,0.99497,0.94748,0.31834,0.35869,0.78747,0.00011166,0.00011166,0.00011166
21,1990.28,0.44564,0.55288,0.81092,0.99751,0.9975,0.99499,0.94882,0.31586,0.3467,0.7865,0.000108116,0.000108116,0.000108116
22,2089.62,0.4451,0.54581,0.81087,0.99713,0.99763,0.99499,0.94979,0.31258,0.34112,0.7859,0.000104572,0.000104572,0.000104572
23,2176.74,0.43704,0.52941,0.81014,0.99734,0.99702,0.995,0.9501,0.31131,0.33259,0.78614,0.000101028,0.000101028,0.000101028
24,2256.1,0.43481,0.51719,0.80823,0.9972,0.9976,0.995,0.95435,0.3029,0.3256,0.78438,9.74834e-05,9.74834e-05,9.74834e-05
25,2335.25,0.4337,0.51114,0.80857,0.99744,0.99694,0.99499,0.95119,0.30658,0.32111,0.78473,9.39392e-05,9.39392e-05,9.39392e-05
26,2413.34,0.42897,0.50606,0.80756,0.99791,0.99879,0.995,0.95557,0.29984,0.31397,0.78352,9.0395e-05,9.0395e-05,9.0395e-05
27,2492.98,0.42285,0.49732,0.80632,0.99825,0.99801,0.99499,0.95235,0.30197,0.30764,0.78397,8.68508e-05,8.68508e-05,8.68508e-05
28,2572.6,0.42288,0.49218,0.80564,0.99695,0.99933,0.995,0.95449,0.30007,0.30383,0.7835,8.33066e-05,8.33066e-05,8.33066e-05
29,2651.97,0.41312,0.47321,0.80399,0.99843,0.99869,0.995,0.95644,0.29778,0.29897,0.78306,7.97624e-05,7.97624e-05,7.97624e-05
30,2731.31,0.41465,0.47567,0.80435,0.99789,0.99921,0.995,0.95699,0.29291,0.29178,0.7827,7.62182e-05,7.62182e-05,7.62182e-05
31,2810.87,0.4097,0.46619,0.80461,0.99813,0.99928,0.995,0.95742,0.2906,0.28942,0.78158,7.2674e-05,7.2674e-05,7.2674e-05
32,2890.45,0.40518,0.45968,0.80227,0.99849,0.99906,0.995,0.95749,0.29188,0.28474,0.78175,6.91298e-05,6.91298e-05,6.91298e-05
33,2969.85,0.40481,0.45213,0.8047,0.99857,0.99827,0.995,0.96032,0.28634,0.28289,0.78143,6.55856e-05,6.55856e-05,6.55856e-05
34,3050.15,0.40161,0.44889,0.80349,0.99873,0.99924,0.995,0.95948,0.28698,0.27929,0.78091,6.20414e-05,6.20414e-05,6.20414e-05
35,3128.74,0.40076,0.44386,0.80252,0.99832,0.99908,0.995,0.96066,0.28358,0.27643,0.78055,5.84972e-05,5.84972e-05,5.84972e-05
36,3207.78,0.39486,0.44017,0.80126,0.99813,0.99884,0.995,0.96205,0.28171,0.27426,0.78016,5.4953e-05,5.4953e-05,5.4953e-05
37,3286.98,0.39598,0.43871,0.80332,0.99854,0.99917,0.995,0.96179,0.28295,0.27166,0.78023,5.14088e-05,5.14088e-05,5.14088e-05
38,3366.1,0.38882,0.4297,0.80202,0.99832,0.99935,0.995,0.96236,0.2817,0.2689,0.78014,4.78646e-05,4.78646e-05,4.78646e-05
39,3444.14,0.39022,0.42953,0.79987,0.99883,0.99934,0.995,0.96165,0.27987,0.26703,0.77976,4.43204e-05,4.43204e-05,4.43204e-05
40,3523.87,0.38677,0.42434,0.79956,0.99875,0.99871,0.995,0.96212,0.27756,0.26481,0.77955,4.07762e-05,4.07762e-05,4.07762e-05
41,3617.8,0.33488,0.33637,0.78779,0.99871,0.99946,0.995,0.96284,0.27726,0.26263,0.77921,3.7232e-05,3.7232e-05,3.7232e-05
42,3695.84,0.32836,0.32957,0.7873,0.99858,0.99933,0.995,0.96304,0.27493,0.26026,0.77903,3.36878e-05,3.36878e-05,3.36878e-05
43,3773.79,0.3233,0.32181,0.78526,0.99878,0.99945,0.995,0.96451,0.27261,0.25662,0.77885,3.01436e-05,3.01436e-05,3.01436e-05
44,3850.71,0.32082,0.31983,0.78648,0.99896,0.99956,0.995,0.96489,0.2711,0.25381,0.7785,2.65994e-05,2.65994e-05,2.65994e-05
45,3927.71,0.31708,0.31565,0.78507,0.99873,0.99924,0.995,0.96524,0.27031,0.25294,0.77837,2.30552e-05,2.30552e-05,2.30552e-05
46,4005.97,0.31629,0.31218,0.78527,0.9987,0.99918,0.995,0.96577,0.26809,0.25002,0.77796,1.9511e-05,1.9511e-05,1.9511e-05
47,4083.73,0.31521,0.31332,0.78581,0.99873,0.99908,0.995,0.96558,0.26812,0.24983,0.77782,1.59668e-05,1.59668e-05,1.59668e-05
48,4161.73,0.31232,0.30716,0.78456,0.99888,0.99908,0.995,0.9658,0.26835,0.24914,0.77789,1.24226e-05,1.24226e-05,1.24226e-05
49,4239.98,0.31276,0.3089,0.78519,0.99875,0.99949,0.995,0.96634,0.26592,0.24793,0.77762,8.8784e-06,8.8784e-06,8.8784e-06
50,4316.81,0.30871,0.30259,0.78387,0.99905,0.99923,0.995,0.96651,0.26626,0.24691,0.77751,5.3342e-06,5.3342e-06,5.3342e-06
